,stars,review_body,review_title,language,product_category,opinion
6979,5,Loved the comical side of this story. Rebecca being so innocent and Joan being so worldly was a refreshing change. The sexual side of the story was treated with a reverence not normally handled well in short stories. I fully enjoyed this read and intend on reading it again.,Very cute short story,en,digital_ebook_purchase,satisfied
11516,2,No review. Just that the short isn't what it seems to be,Size needs to be what the seller says it is. Very disappointed,en,apparel,mixed
8690,1,Never received my item but money was taken out of my account,One Star,en,shoes,non satisfied
223,5,"Correspondant au descriptif, jouet très adapté pour les chatons. Seul bémol si j'avais su j'aurai pris la taille au dessus car passe a longueur de temps sous canapé",Super,fr,furniture,satisfied
11500,2,"I used this to extend the cable on a USB hub. The hub is connected to my USB printer and scanner. My printer and scanner work when the hub is connected directly to my computer. When I use this extension cable, the printer and scanner don't work.",I used this to extend the cable on a USB ...,en,pc,mixed
567,4,"acheté pour l'hivernage (en intérieur ) d'un bandit 1250 S avec top case 1 casque , un peux grand mais c'est ce que je recherchais",XL top box pour bandit,fr,sports,satisfied
9625,1,Product was never recieved and company will not explain what is going on with the package.,Product not shipped,en,toy,non satisfied
2625,1,Commande jamais reçu. Pas étonnant vu le prix. Message pour remboursement envoyé et on ne m'a jamais répondu.,A éviter absolument,fr,toy,non satisfied
7632,3,"I ordered the smoke blue. The color is really nice, but I don't not like the fabric that these cases are made from. The description says Sateen, which is what all my sheets & cases are made with and I love Sateen because it's very soft. These are slightly different than normal Sateen, I can quite explain it, and they are somewhat scratchy. I ended up returning them.","Almost, but not quite....",en,home,satisfied
4280,3,Pour une soiree déguisé impeccable,Tres bien,fr,toy,mixed
9181,1,"Terrible! I’ve bought this twice now bc I do love powder dipping my nails, but this particular base really sucks. The first bottle, I used once and never could get the top open again after the first use. It was basically super glued shut. So I got a second bottle and tried to be more particular by making sure no liquid got on the part of the bottle or top that would stick to each other when shut. Second use and the darn brush literally fell out of the top. Like all the individual fibers full of glue went all over my counter. UGH!! Now my nails are half done, and I have glue all over my fingers from picking them all up!! Annoyed is an understatement!",Cheap brush on nail glue is more reliable.,en,beauty,non satisfied
5346,3,"Bon jouet mais pour bébé , mon berger allemand de 6 mois n’en a fait qu’une bouchée...","Attention fragile , recommandée pour petit chiot",fr,pet_products,mixed
4428,3,Habitué aux produits Starwax Je ne connaissais pas celui-là Il est remarquable je recommanderai le même quand j’aurai fini le flacon j’ai un parquet qui est très brillant depuis trois mois jamais je n’avais obtenu un aussi bon résultat pour un parquet mal vitrifié,Remarquable l’application dure longtemps,fr,home,mixed
10056,2,"I was excited to rock this hat. I've got stuff from condor in the past and haven't had any issues. Until now. I got this hat, pulled it out of the bag and went to take the little tag in the back off (you know, the annoying one that no one likes). To my dismay, the entire Velcro piece ripped off making my hat useless. I examined the piece to see what could have possibly gone wrong and saw that the Velcro closure was only held on to the hat by 4 or 5 pieces of thread. Not sure if it was a manufacturer's error or a bad design but now I'm without a bada$$ hat until I can track down a sewing kit in the country I'm in at the moment.",I wanted to like it....,en,sports,mixed
10797,2,"Very disappointed with this cheese. It barely melts and as it cools, it becomes gritty and dry. Not a melting cheese at all. It's fine on a salad or something cold.... nothing special but more palatable when it's not cooked.",Not for melting,en,other,mixed
3953,2,"en voulant le plier, j'ai cassé les baguettes,",bien large mais pas evidant à plier,fr,sports,non satisfied
744,5,"Très bon jeu, foncé !!!!!!!",Bonne cartouche et pokémon j'en suis fan,fr,video_games,satisfied
2400,1,matériel ne fonctionnant pas du tout. Vendeur injoignable par mail ne prenant pas la peine de répondre aux messages. Pour les suivants... qui souhaiteraient acheter ...,ce matériel ne fonctionne pas,fr,pc,non satisfied
4036,3,Si votre est chien a tendance à ronger et détruire les jouets ou peluche celle ci ne durera pas!!!,Pas très résistant,fr,pet_products,mixed
3475,2,"Dans l’ensemble c'est assez précis , belle couleur , visible et facile a lire . pour nous perso seul bmol , nous habitons une région ou le soleil prédomine et les nuages sont rares et la météo nous affiche des nuages ou de la pluie tout le temps , donc après deux ans de fonctionnement mauvais achats pour notre part",Bon materiel,fr,lawn_and_garden,non satisfied
7338,5,Fits my phone perfectly. This case is very durable and has lasted me over a year..I'm actually ordering it again. I drop it all the time and it has never cracked or anything. It has normal wear and tear and the color started chipping around the edges. The color is slightly different than pictured..in person its more of a purple tone than blue but it's still really pretty. Overall I really love this case.,Very durable,en,wireless,satisfied
11210,2,"Work as a nursing top, however the quality is poor and they are stained and misshapen now after use for only 2 weeks. Unfortunately nursing tops are so expensive I was hoping to save money with these, but I was better off paying more for a better quality item.",however the quality is poor and they are stained and misshapen now after use ...,en,apparel,mixed
915,5,Un jeu excellent sur switch. Un jeu neuf pour un prix d'occasion. Je me suis éclater à baffer du romain.,BAFFE+BAFFE+BAFFE sur du Romain!!!,fr,video_games,satisfied
2056,1,"Ont tenu 3 rechargements puis rechargement impossible, très décevant.",Mauvaise qualité,fr,electronics,non satisfied
6028,4,Open up bath tube drain and smooth sailing down the drain.,Works just fine,en,home,satisfied
18,4,"Très belle lampe, jolie qui fournie un très belle éclairage pour une lampe d’appoint.",Jolie,fr,home,satisfied
9846,1,The seller sent me the wrong item and I never received the pants.,Make sure seller does quality check of the product going out,en,apparel,non satisfied
5939,3,"Look très agréable, mais la contenance du produit est très décevante, trop restreinte. Par contre les composants sont super !",Boite à pain en bambou,fr,home,mixed
5687,3,appareil agréable mais difficile d'utilisation : la notice n'est pas en français. utilisation via piles à voir la consommation dans le temps.,pas simple quand on ne comprend pas l'anglais,fr,sports,mixed
3689,1,L’ampoule ne fonctionne pas,Ampoule hs à l’arr,fr,home,non satisfied
7261,5,Drill arrived in excellent condition. Works as it should. Nice that it has two speeds. I am a professional cabinet maker and this really comes in handy from time to time,Works just fine,en,other,satisfied
7127,4,My son loves it and works perfect for when we go out. The suction is really great but at the same time I can barely get it off the table when he's finished lol,Great suction,en,baby_product,satisfied
7870,4,These worked perfectly for us,Four Stars,en,pet_products,satisfied
11225,2,Doesn't work on my system,Did not work,en,other,mixed
9820,1,Ugly and fake Topaz crystal pendant! So cheap made. Don't waste your money. So disappointed. It came from China. I will never buy anything from this seller again.,FAKE AND UGLY TOPAZ CRYSTAL PENDANT,en,home,non satisfied
8827,1,I am super disapointed. This is exactly what I was looking for. And opening the box I thought it was perfect..... Until I realized they didnt cut the hole out for your thumb to get the cards out. And the cork pad is crooked so is lifting on one corner already.,No Thumb Hole!,en,office_product,non satisfied
5854,3,Les crayons bic Atlantis sont selon moi les meilleurs crayons bleus c'est pourquoi j'ai décidé de les acheter en grande quantité. Alors je ne sais pas si c'est parce que j'écris plus (mais cela n'est pas cohérent) mais le niveau d'encre baisse à une vitesse phénoménale...,Super crayons mais pas assez d'encre,fr,office_product,mixed
4164,3,"J'en ai plusieurs chez moi (achetés à divers endroits) mais celui-ci est un peu fragile je trouve : quand une personne assez lourde se met debout dessus, après il est un peu ""bloqué"" pour le refermer facilement... pas normal par rapport à d'autres que j'ai chez moi.",Pratique mais un peu fragile,fr,home,mixed
7730,4,"Very hard to snap together, however very detailed. Nice for display but not for play.",Decent,en,toy,satisfied
7368,3,So I want to love these. Nice small footprint. But the battery life is short. And they don’t always recharge when they’re returned to the case. I purchased based on reviews and am slightly disappointed.,"really wanted to like them, but ...",en,electronics,satisfied
5967,3,"Bon je cherchais une coque à l'essai, honnêtement je ne la trouve pas ""classe"", a mon avis une en plastique crystal est mieux. Sinon bonne protection.",pas fan du design mais bonne protection,fr,pc,mixed
4557,3,Jolie et conforme a la description mais apres un mois d'utilisation les coutures s'écarte. J'aurais publié retourné mais j'ai pas trouvé plus pratique et jolie à ce prix.,Jolie et pratique,fr,pc,mixed
9559,1,"Well, this wasn't what we thought it would be. It was OK but not really what we wanted.","OK, really thin",en,sports,non satisfied
7647,4,The watch arrived on time great watch a must have to any watch collection.,High value budget retro watch,en,watch,satisfied
10380,2,"Do not bother combing, separating, or styling because it sheds a lot. I was able to make a nice wig out of it but the hair itself is not described as good quality.",I was able to make a nice wig out of it but the hair itself is ...,en,beauty,mixed
9627,1,"The magnet is on the side of the egg and is very small and weak, so that's the only spot it would hold the paper clips. They slide right off of any other area. The picture is misleading.",The magnet is on the side of the egg and ...,en,office_product,non satisfied
8420,1,So I literally used these just to pick up some rocks and wood in the backyard. After taking them on and off about ten times one of the fingers got a hole in them. These are not good gloves do not buy them.,Cheaply made DO NOT BUY,en,lawn_and_garden,non satisfied
3071,1,"Reçu ce jour, le produit à l'air conforme à la description mais je suis très déçu car il n'a été livré qu'avec 8 ventouses au lieu de 10 donc je ne peux utiliser que 4 des 5 Pare soleils...",manque des pièces,fr,baby_product,non satisfied
9486,1,"Been using Laura Mercier brow pencil from the mall for years now. Figured I'd give it a try via Amazon for convenience purposes. I have ordered from them a few times now... And I won't anymore!! The reason being, they never send the color blonde. They always send ash blonde. At first, I thought maybe it was an innocent oversight - it's not. Anyone who knows makeup knows there is a significant difference between ash blonde and blonde. Apparently, they must not carry blonde, which is what they are advertising. It was highly disappointing and costly for an eye brow pencil!",Been using Laura Mercier brow pencil from the mall for ...,en,other,non satisfied
8727,1,Not waterproof and bleeds on your eyelid.,Not waterproof and bleeds onto your eyelid.,en,other,non satisfied
5359,3,après qq temps de service les coutures lâchent les unes après les autres pas cool,un soucis...,fr,wireless,mixed
3060,2,très déçu !!! ne ressemble à rien une fois recouvert de strass . résultat : juste un mélange de couleurs..... Décevant,déception,fr,furniture,non satisfied
1828,5,Envoi Rapide ! Emballage correct. Produit conforme à ce que j'attendais ! Fonctionne comme il faut après une petite charge.,Rapide et bien emballé,fr,electronics,satisfied
9628,1,This pen is a real disappointment. I am a pen 'snob' so to speak and this one didn't cut it at all. It is hard to twist (not smooth) and the ink skips as you write and leaves blank spaces for letters it didn't print. It is also kind of scratchy to write with...not at all what I wanted.,This pen is a real disappointment. I am a pen 'snob' so to speak ...,en,office_product,non satisfied
9442,1,Never received my package!,One Star,en,office_product,non satisfied
8487,1,Received item without charging cable,Missing part,en,automotive,non satisfied
7531,4,Works good and easy to put on. Is kinda loose where it can come off if gripped wrong.,Turtle shell,en,pc,satisfied
6736,3,I don’t think these are As stated the scent is same but it’s watered down in my opinion. Not nowhere near the original ones when I bought my Rainbow. Color is lighter as well I did a side by side.,If wasn’t trying to cheat folks you’d do better 🤔,en,home,satisfied
6267,5,We will definitely buy again. It's be coming out to go seasoning.,"Yummy for chicken, beef and veggies!",en,grocery,satisfied
5431,3,C'est conforme a la description mais je n'ai pas trouvé efficace sur une terrasse,Jolie produit mais pas tres efficace contre les moustiques,fr,lawn_and_garden,mixed
4705,3,"Cette idée d'un monde au seins de notre monde, ça me fait penser à un dessin animé que je regardais étant petit. Du reste, le texte est bien écrit, le rythme soutenue... Si un jour on a un roman de ce qui se passe sous terre, je prends!",Une belle histoire revisitée.,fr,digital_ebook_purchase,mixed
2714,1,Je ne peux juger je ne l'ai jamais reçu bien que cela a parait-il été livré,AVIS,fr,home_improvement,non satisfied
2550,2,"Dommage, je ne sais pas la mettre. C'est vraiment trop petit. Faut encore trouver une sous robe pour mettre en dessous.",Trop petit.,fr,apparel,non satisfied
3832,2,Pas très pratique a mettre dans la piscine. Nage différente par rapport à un pull ou standard,Pas très pratique,fr,sports,non satisfied
1262,4,Malgré les dimensions indiquées on espère toujours que ça soit plus grand Bonne qualité cela mériterait juste quelques centimètres de plus,Bien,fr,toy,satisfied
7267,5,I was pleasantly surprised when I received this purse. The leather is very soft andit looks really nice. It also has alot of pockets and room. I am very please!,Soft leather,en,shoes,satisfied
11411,2,"Not a bad product, I suppose. Expect damage during shipping. At this price and how it arrived, one would be better off using aluminum foil!",Just Use Aluminum Foils,en,lawn_and_garden,mixed
2045,1,"le produit n'est pas arrivé dans le délai prévu , donc obligé d'aller en acheter d'autres dans un magasin conventionnel ;prévu le 27 décembre pour un besoin le 1er arrivé le 2 ;",non respect de la date de livraison,fr,sports,non satisfied
5689,3,Appareil bien utile pour certains handicapes. La joue en plastique est un peu raide à plier pour quelqu'un sans de force dans les mains. A recommander certainement pour la majorité des personnes.,Pratique.,fr,personal_care_appliances,mixed
7384,4,"It fits perfectly on my HP 23.8 inch monitors. The only thing I don't like about these screens, that they're too glossy. The matte side is not much different from glossy one. If you don't have a window in the office it'll be fine, but if you do - I don't recommend this product. Customer service was great and they refunded the money.",Too glossy,en,pc,satisfied
478,5,J'ai tout aimer merci,C'est une tres belle armoir facile a monter,fr,furniture,satisfied
5670,3,L’objet a été monté sur mon véhicule impeccable rapide propre (Bizarrement les deux ont grillé en même temps),Je recommande ( mais durée limité,fr,automotive,mixed
4790,3,"radio réveil de très bonne qualité , charge un portable , le son est bon , l'intensité réglable pour l'éclairage de l'heure est super , seule l'absence de notice en Français est vraiment pénalisante pour son utilisation compète ( vaut 5 étoiles avec une notice en français )",radio réveil,fr,electronics,mixed
4029,3,"Après plusieurs mois utilisation sans problème, la sonde a rendu l'âme. SAV efficace .. après plusieurs mails de rappel. Mon produit est de nouveau en fonction.",Bon produit,fr,home,mixed
755,4,"Bien sympathique ce joujou, j'ai commandé le M mais impossible à rentrer, alors j'ai commandé le S et il est rentré facilement, par contre je ne ressens pas l'effet de la bille...J'attends patiemment d'être suffisamment dilaté pour utiliser le M.",Agréable à porter,fr,drugstore,satisfied
9110,1,I knew I was making a mistake!!,Junk. Just but the HP.,en,office_product,non satisfied
7606,5,"Love, love, love this massager. Cordless is great. My husband and I use it almost everyday.",Fantastic Neck and Back Massager!!!,en,drugstore,satisfied
4715,3,"Je n'ai malheureusement pas reçu ma commande ,cependant je connais bien cette marque et elle est top.",Bonne marque,fr,office_product,mixed
2328,1,Les dessins ne sont pas bien imprimés. Moins joli que sur la photo.,Moyen,fr,toy,non satisfied
7658,4,"They did fit and work in a 2006 Silverado, contrary to what Amazons vehicle fit said",They do fit 2006 Silverado,en,automotive,satisfied
11192,2,The reason why I didn't like this was because 1. It came three days late and 2. The bottle exploded from the bottom and half of the lube was wasted. Do not buy this. Look elsewhere.,The reason why I didn't like this was because 1,en,toy,mixed
10428,2,Poor quality compared to tile. More than one tile came nonfunctional but was replaced after a long text conversation with text support. They do have a 1x battery replacement but I think these come with refurbished batteries as I have already had to order replacements after one day of use. Spend the money on a tile,Poor quality compared to tile,en,wireless,mixed
2073,1,Protection d'origine plus opérationnel,Bon rapport qualité-prix,fr,pc,non satisfied
8366,1,"Ordered and double checked the order because I didn't like the way it did not call out exact size in shipping list. it says S-XXL, I actually triple checked and made sure that I ordered a XXL for my wife, and a L, for my daughter RECIEVED a Medium and a Large. DID NOT ORDER A MEDIUM. I was extremely leary and should have followed my better judgement when I could not see the ACTUAL size in my cart just the S-XXL... and my gut feeling was correct so now have a jacket for my daughter that is too tight and have to hassle with return or whatever...",Sent wrong sizes,en,apparel,non satisfied
7385,5,Exactly as described worked great for my project,exactly as described,en,home,satisfied
11245,2,"1st watch the hands fell off within a month or 2, so I bought another and when it showed up the clasp was loose and kept falling off. Was great while it lasted, I returned the 2nd one and decided to not buy another one after disposing of the 1st.",Damaged/ not quality goods?,en,watch,mixed
9301,1,Doesn’t work at all. Big waste of money and time!!!!!!,Terrible,en,beauty,non satisfied
2672,1,reçu une batterie d'occasion qui ne marche pas...,Produit non conforme,fr,wireless,non satisfied
7142,3,"Like all insurance, it is a gamble...",Insurance gamble,en,electronics,satisfied
8709,1,"On the outside, exactly what you'd expect. But the sound quality is terrible. I actually purchased these because the reviews looked good and everyone was praising their sound quality, so that in particular is really disappointing.",Wouldn't Reccomend,en,electronics,non satisfied
8417,1,It didn't keep my chin strapped down. Apparently it didn't alleviate the snoring.,Didn't work,en,drugstore,non satisfied
844,5,Étonnamment surpris par la qualité,Étonnamment surpris par la qualité,fr,sports,satisfied
1437,4,"Conforme, très bon produit",Très bien,fr,pet_products,satisfied
10926,2,Noisy and skips right out of the box when driving... Replaced with another brand that works great,Not good out of the box,en,automotive,mixed
6198,3,"The first day the small knife was broken, I tried to cut some box to make home for my kid’s dolls . Now when I know they are not that much study, use more careful and the rest two still alive. For the price I think I should expect thin quality .",One broken the first day,en,home,satisfied
2235,2,Modèle sur la photo avec 5 rivets et aimant prenant toute la surface des platine Modèles reçu petit aimant rond au centre,Non conforme à la photo,fr,industrial_supplies,non satisfied
8370,1,I bougth 2 of these and after 30 days both are trash. One never got battery charged and didn't work from the first time and the second I used only once and the display got off. Please give my money back! It will be a pleasure to send both back to the seller.,This fitness tracker is the wrost thing I've ever bougth,en,sports,non satisfied
5402,3,"Slip solution arrivée vidée d'un tiers, popits ne conviennent pas aux ongles larges et manque un clip pour maintenir le popits sur l'ongle le temps de la catalyse.",Déçue,fr,beauty,mixed
5916,3,"J'ai fixé le miroir mais le jour où je devrait le retirer je vais pleurer car le dessins d'un des visse est devenu rond en utilisant la clé à Allen fournie... Impossible de dévisser à présent... J'espère qu'à l'usage tout ira bien, que je n'ai pas à le démonter...",La visserie est de mauvaise qualité,fr,sports,mixed
10200,2,"Looks nice in my small living room, really liked it till the button broke after using for a few days. Now I have to plug in/out to turn it in/off.",Broke easily,en,home_improvement,mixed
10167,2,Don’t bother wasting your money they will only work for a few days until you have issues with it not working anymore,Aren’t worth it,en,wireless,mixed
5972,3,"Belle et grande armoire, mais un coté et une porte abimés, et un bordel dans le camion de livraison...",Je ne recommande pas,fr,furniture,mixed
10097,2,Doesn’t look like the photo. I’m 5’3 165 curvy muscular build ...it’s a little tight....ordered a large ....I should have gone up a size. Or I guess I can lose 10 lbs .... Either way. Not worth sending it back. I can make it work and dress it up.,Eh...kinda tight. Not a nice as the pic,en,apparel,mixed
11376,2,Did next to nothing for me. Two stars for freshness and acceptable taste.,Did next to nothing for me.,en,drugstore,mixed
8972,1,This is sickly sweet and smells funky!,So gross,en,drugstore,non satisfied
2818,1,Matériel reçu defaillant !,Matériel ne fonctionne pas !,fr,wireless,non satisfied
7586,3,"great product, but as like almost every other brand, their lightest color was still too dark for me",Three Stars,en,beauty,satisfied
10627,2,"One of the bands broke shortly after wearing it, other than that it seemed nice to wear.",Decent Product,en,jewelry,mixed
6421,5,These sunglasses are amazing for the price. Beautifully designed and work as well as any sunglasses I have ever bought. including expensive ones. The polarization and anti-glare is exceptional.,These sunglasses are amazing for the price,en,shoes,satisfied
5342,3,"Bonjour à vous tous , Je tiens beaucoup à remercier l'équipe amazon fr et ce vendeur , ils ont fait tout le nécessaire pour me satisfaire à me livrer plus tôt que le délai prévu , et ce , pour le nouvel an , c'est très commercial . En ce qui concerne ce kit , la déception viens de deux choses , la première , la vision nocturne bien plus courte que renseigné , au delà de 8 mètres , c'est perdu sauf en cas de lumière externe , la deuxième , le fait de quitter l'encadre zoom avec la molette , fait que le canal présent se vois sorti de l'écran d'où chaque fois devoir le rechercher , par moment même énervant . dommage .",certainement trop bon marché .,fr,electronics,mixed
5691,3,"Produit correct mais sans plus. Pas vu d' amélioration spectaculaire par rapport à d' autres produits moins chers. Déçue par l' odeur peu agréable, comparativement à un produit qu'on trouve plus difficilement et qui est plus cher de la même gamme.",Correct sans plus,fr,beauty,mixed
252,4,"Excellent produit ! Il faudrait juste inclure une notice pour expliquer comment remplacer la puce lors de la première utilisation, quoi qu'il en soit j'ai pu deviner assez facilement comment faire donc pas de soucis malgré tout. Je recommande vivement ces cartouches qui font faire d'énormes économies sur l'encre qui coûte normalement une fortune",Vraiment économique !,fr,office_product,satisfied
11786,2,"Has some neat qualities and the games when accessible are good for my toddler. Does not work well for the under 5 age, there are many challenges that create an unusable environment. I have had 2 glitches so far that ended with total reboots. As of now, it is nonfunctional for the kids side. Very unfortunate as we were excite to use this product.",Check out someone else's before purchasing...,en,other,mixed
9419,1,30 dollars for something that's actually very small. Not impressed by any means. Definitely something you should be cautious about when ordering. Hope no one else makes this mistake. Highly unsatisfied with this product.,Small as heck!,en,beauty,non satisfied
10328,2,"You get what you pay for - the tinting of the screen is as advertised; however, the quality of the material is poor and alters the screen image.",Alters Screen Image,en,wireless,mixed
367,4,Article qualité/prix très correct et performant .,Satisfait,fr,home_improvement,satisfied
469,5,"Le temps de charge est légèrement plus long qu'avec le cable d'origine, mais c'est trés correct. Pratique, robuste. Mon mari l'utilise partout :au boulot comme à la maison. Le cable est parfait. On peut le tordre dans tous les sens aucun risque de se casser comme le vrai cable iPhone.","Pratique, robuste.",fr,electronics,satisfied
3043,2,Quand j'ai reçu le produit je l'ai trouvé bien fragile. A voir sur le long terme... Je le pensais aussi plus grand.,Le produit a l'air peu solide,fr,home,non satisfied
8737,1,Belt was to thin around the waist and did not fit comfortably.,To thin,en,drugstore,non satisfied
5276,3,Bien pour le prix mais on est loin du haut de gamme,Bon rapport qualité prix,fr,home_improvement,mixed
3110,1,Je ne mets qu’une seule étoile car le carton est arrivé avec les bouteilles en milles morceaux...j’ai pas osé recommander de peur que la prochaine livraison soit pareille...dommage.,Livraison fragile,fr,home,non satisfied
5249,3,Fonctionne pas à l'extérieur,Lazer pas fort lumineux,fr,home_improvement,mixed
9564,1,"Installed 6 months ago. Now, when in USB/iPod source, automatically Error 19. This is without anything in the USB input. Tried all fixes and solutions. 6 months for $100.00 is not worth it to me. Wish I had stayed away from this unit.","Good, as long as it worked. (6 months)",en,wireless,non satisfied
3186,1,Bientôt 2 mois que j attend cette commande !! très déçut !!!!,réclamation,fr,grocery,non satisfied
10268,2,These don't fit the screws on the Nintendo Switch too well/,Two Stars,en,pc,mixed
5898,3,"Il n’est pas lumineux , bébé n’aime pas malheureusement . Peut être plus tard , il n’a que deux mois .",Jolies,fr,baby_product,mixed
10067,2,The socks are very thin - see through. Cute design but quality wise they won't hold up long,Cute not for everyday wear,en,apparel,mixed
10932,2,Mine is too narrow. It does not cover mistakes with colored inks well at all.,Not good for corrections,en,home,mixed
3850,2,"Je ne sais pas si c'est mon imprimante Epson (neuve) qui déconne mais mes documents imprimés ne sont plus utilisables depuis que je prends cette encre. Par contre, une erreur s'est produite lors de la livraison et le sav fonctionne bien.",À éviter....à moins que ce ne soit Epson!,fr,office_product,non satisfied
7383,3,It looks nice and what I can figure out to work right is good. I cannot understand what the caller ID voice is saying. Some calls just dropped on first ring when I push talk. I know it will take some time but I find it frustrating to figure some of it out.,Still trying to figure it out.,en,office_product,satisfied
4051,3,Attention article correspondant à Wiko Ufeel PRIME. Le produit n'est pas compatible avec le Wiko Ufeel ....,ATTENTION 2 commandes 2 mauvais produits,fr,wireless,mixed
7602,4,"This is a very good product if you are looking for a mild microderm treatment at home. It's probably not fair to expect a parlour quality but for the price and the time it takes to do this facial, it is absolutely great! It is my quick facial and massage therapy that I rely on when there is an important event to attend but no time for parlour. I have not had any rashes or reaction due to it so far. Make sure you don't overdo it - I have a very sensitive skin and I find once a week to be ideal.",This is a very good product if you are looking for a mild microderm ...,en,beauty,satisfied
6974,3,"Bought this as a replacement band after the original wore out. First the positives - it definitely gives more of a dressed up look than the sports band that came with original. However, for the negatives - wearing this thing every day drove me nuts! Because it secures by a magnet, rather than a clasp, I was constantly having to adjust and re-tighten the band because the magnet will slowly but surely slide down the band when you're moving around. Additionally, this wasn't very comfortable to sleep in and since it's metal I wouldn't work out in it either. While this will be a great option when you have to look more professional or are dressing up, I don't think it's suitable for daily wear.",this wasn't very comfortable to sleep in and since it's metal I wouldn't ...,en,sports,satisfied
11190,2,I wanted to love these but the suction when using isn't the same and the tunnel is much shorter. The silicone edges are so nice but that was the only thing that was great about them.,Shorter Tunnel & Less Suction,en,baby_product,mixed
1498,5,"Résulta au top, monter seul en 30 min. Gros plus, un guide pour bien positionné les chiffres est fournis dans la notice.",1er impression,fr,home,satisfied
4243,3,"L'écran semblait bien, bonne qualité d'image, grand, lumineux, réactif. En 6 mois d'utilisation non intensive j'ai déjà des pixels morts. Très TRES décevant.",des pixels morts en 6 mois seulement,fr,pc,mixed
10599,2,"The remote is horrible. It needs to be pointed almost directly at the box to work. As a result I have only been using this for game systems that I switch between rarely, and pushing the buttons on the box itself to switch. PIP shows black boxes if nothing is connected. Can't move the boxes around, they're also smaller than expected. The feature is nearly useless Also, this may not be a defect with the product, but my LG tv doesn't recognize it as an active input. It works as long as I manually switch to that input, but it seems weird to me that this happens at all.","remote is terrible, the rest is acceptable",en,electronics,mixed
10850,2,"When I first listened to this CD it was like Yanni meets Hip Hop , not the usual Yanni.",A diffrent Yanni,en,other,mixed
163,4,Impossible de faire défiler verticalement les épisodes sur netflix Avec la souris de la télécommande ou en mode télécommande classique Avec vous trouver une solution ?,Défilement impossible,fr,other,satisfied
8953,1,It does not work. There were no instructions. I was provided with a different brand to what I ordered.,Received a different brand,en,beauty,non satisfied
5750,3,Plus petit que ce que je pensais mais ça va. Du coup ma fille peut l'emporter avec elle.,Petit,fr,toy,mixed
4516,3,Bien et plutôt solide mais je confirme que le manche fait un peu mal aux mains lors de l'utilisation.,Pas mal mais fait mal,fr,home,mixed
10338,2,"Nice looking, comfortable, and seal nice against the face, but when you put the goggles on they seem very blurry/hazy both in and out of the water.","Nice looking, comfortable",en,sports,mixed
2913,1,Ayant lu les caractéristiques j'étais confiant jusqu'au moment où j'ai voulu prendre l'extrémité d'une grille. Je me suis légèrement brulé car la protection thermique ne couvre pas tout le gant...,brulure,fr,lawn_and_garden,non satisfied
7940,3,"The product itself is fine and works as expected. However it's absolutely ridiculous that it took 3 months for payment to process and then just magically went through, unexpectedly, 3 days before Christmas. So disappointed.",The product itself is fine and works as expected,en,pc,satisfied
11156,2,Not exactly what I imagined. They are super sharp and kind of flimsy or thin. Didn’t grab hairs the best or like I expected and read in other reviews!,Mediocre,en,beauty,mixed
6352,5,I'm on a low carb diet an this brand of oil was recommended. I really like it. Has great flavor and consistency.,Great Oil,en,grocery,satisfied
6241,4,perfect book mark and great price,Four Stars,en,book,satisfied
3994,1,"Acheté en 3 exemplaires pour mettre dans les chambres, ces appareils n'ont très bien fonctionnés qu'une seule fois. J'ai rempli le réservoir conformément aux instructions et ai constaté qu'au moment où j'ai souhaité le remplir à nouveau, le capuchon en forme de cône est resté collé au réceptacle sur les 3 produits de manière identique. J'ai dû bricolé l'appareil avec un couteau et ai pu en décoller 2 sur 3. 1 appareil est parti à la poubelle s'étant brisé après manipulation.",Médiocre qualité,fr,baby_product,non satisfied
1969,4,"agréable à feuilleter, on peut mettre pleins d'infos",Pratique,fr,book,satisfied
9287,1,It is very slippery... A hockey puck does a much better job...,Very Slippery,en,automotive,non satisfied
5017,3,"Un peu de travers, c'est dommage, le principe de l'étagère est génial.",Moyen,fr,furniture,mixed
2905,1,"Mauvais produit, décalage son et image",Qualité,fr,sports,non satisfied
5355,3,le film ne couvre pas tout l'arriere. il reste 1cm de chaque coté,le film ne couvre pas tout l'arriere,fr,pc,mixed
1085,5,Bon achat! Une découpe parfaite autour du téléphone. Semble solide. Je recommande ce produit.,Protection te voilà,fr,wireless,satisfied
6183,4,"Little small, ripped on seems... however I do have gorilla hands",Four Stars,en,sports,satisfied
5462,3,C’est du produit que j’ai envoyé,C’est du produit que j’ai envoyé,fr,home_improvement,mixed
1903,5,J'avais besoin d'un harnais solide et pratique car mon chien avait cassé mon ancien harnais s'ouvrait toujours. Celui-ci est de qualité et solide !,Impeccable,fr,pet_products,satisfied
8309,1,The smell is TERRIBLE!!! I can’t even begin to describe what it smells like. It transferred to my pens and highlighters. DO NOT BUY!,The smell is TERRIBLE!!,en,office_product,non satisfied
303,5,"ma maman à eu ce cadeau pour noël et elle est ravie, la notice en chinois est très détaillée et donc facile a suivre, les petits objets on l'air de bonne qualités à voir dans le temps! surtout n'oublier pas la colle (non fournie)",minutieux,fr,home,satisfied
3468,1,"Le filet du panier s’est détaché sans raison, le reste tiens le coup... la balle est cool... sans plus.",Nul.,fr,sports,non satisfied
7228,4,"Works great for tiling showers and anywhere else a 24"" is too small and 48"" is to big",Perfect size,en,other,satisfied
